Station,Parameter,Value,SD
HH,Lat,11°47.287´,0
HC,Lat,11°43.214´,0
HM,Lat,11°40.694´,0
GH,Lat,11°40.366´,0
GC,Lat,11°32.772´,0
GM,Lat,11°27.447´,0
BH,Lat,"11°54,467´",0
BC,Lat,11°52.428´,0
BM,Lat,11°51.533´,0
HH,Long,58°02.841´,0
HC,Long,57°57.817´,0
HM,Long,57°55.811´,0
GH,Long,58°25.910´,0
GC,Long,58°19.399´,0
GM,Long,58°15.750´,0
BH,Long,"58°20,666´",0
BC,Long,58°19.890´,0
BM,Long,58°19.641´,0
HH,Depth,21,0
HC,Depth,32,0
HM,Depth,41,0
GH,Depth,26,0
GC,Depth,118,0
GM,Depth,57,0
BH,Depth,11,0
BC,Depth,46.5,0
BM,Depth,23,0
HH,Temp,13.7,0
HC,Temp,12.9,0
HM,Temp,12.1,0
GH,Temp,13,0
GC,Temp,6.9,0
GM,Temp,8.5,0
BH,Temp,14.5,0
BC,Temp,9,0
BM,Temp,8.5,0
HH,BW_O2,213,0
HC,BW_O2,199,0
HM,BW_O2,204,0
GH,BW_O2,175,0
GC,BW_O2,107,0
GM,BW_O2,164,0
BH,BW_O2,260,0
BC,BW_O2,0,0
BM,BW_O2,0,0
HH,MAR,1150,80
HC,MAR,1640,110
HM,MAR,4700,500
GH,MAR,670,80
GC,MAR,1500,100
GM,MAR,2220,220
BH,MAR,470,40
BC,MAR,380,10
BM,MAR,840,90
HH,OC,2.5,0.12
HC,OC,2.6,0.05
HM,OC,2.6,0.04
GH,OC,2.5,0.13
GC,OC,2.5,0.04
GM,OC,2.6,0.04
BH,OC,1.6,0.63
BC,OC,2.9,0.31
BM,OC,2.7,0.27
HH,C.N,13.8,0.4
HC,C.N,9.8,0.2
HM,C.N,9.2,0.2
GH,C.N,10.6,0.4
GC,C.N,10.1,0.2
GM,C.N,9.6,0.2
BH,C.N,13.4,0.2
BC,C.N,11,0.8
BM,C.N,11.1,0.8
HH,Abundance,4534,0
HC,Abundance,4730,0
HM,Abundance,4730,0
GH,Abundance,1715,0
GC,Abundance,3568,0
GM,Abundance,1725,0
BH,Abundance,1680,0
BC,Abundance,0,0
BM,Abundance,0,0
HH,Biomass,106,0
HC,Biomass,99,0
HM,Biomass,99,0
GH,Biomass,175,0
GC,Biomass,90,0
GM,Biomass,217,0
BH,Biomass,22,0
BC,Biomass,0,0
BM,Biomass,0,0
HH,B.A,0.23,0
HC,B.A,0.21,0
HM,B.A,0.21,0
GH,B.A,1.05,0
GC,B.A,0.32,0
GM,B.A,1.43,0
BH,B.A,0.11,0
BC,B.A,0,0
BM,B.A,0,0
HH,BPc,3736,0
HC,BPc,3409,0
HM,BPc,3409,0
GH,BPc,4198,0
GC,BPc,3571,0
GM,BPc,3125,0
BH,BPc,1587,0
BC,BPc,0,0
BM,BPc,0,0
HH,IPc,2188,0
HC,IPc,1745,0
HM,IPc,1745,0
GH,IPc,5288,0
GC,IPc,3175,0
GM,IPc,3962,0
BH,IPc,583,0
BC,IPc,0,0
BM,IPc,0,0
HH,Db,0.6,0
HC,Db,3,0
HM,Db,2.2,0
GH,Db,20,0
GC,Db,1.9,0
GM,Db,3.1,0
BH,Db,0.2,0
BC,Db,0,0
BM,Db,0,0
HH,xmix,1.9,0
HC,xmix,5.7,0
HM,xmix,13.2,0
GH,xmix,12,0
GC,xmix,8.4,0
GM,xmix,6.9,0
BH,xmix,3.6,0
BC,xmix,0,0
BM,xmix,0,0
HC,IrrDIC,0.5,0
GC,IrrDIC,0.4,0
BC,IrrDIC,0,0
HC,IrrMn,0.5,0
GC,IrrMn,0.11,0
BC,IrrMn,0,0
HC,xirr,6,0
GC,xirr,10,0
BC,xirr,0,0
HH,J_rFe_down,0.2029,0
HC,J_rFe_down,0.5812,0
HM,J_rFe_down,2.0375,0
GH,J_rFe_down,0.0759,0
GC,J_rFe_down,0.7883,0
GM,J_rFe_down,0.6926,0
BH,J_rFe_down,0.1398,0
BC,J_rFe_down,0.1421,0
BM,J_rFe_down,0.298,0
HH,J_FeS2_down,0.5211,0
HC,J_FeS2_down,0.265,0
HM,J_FeS2_down,0.7234,0
GH,J_FeS2_down,0.1438,0
GC,J_FeS2_down,0.1159,0
GM,J_FeS2_down,0.4728,0
BH,J_FeS2_down,0.1255,0
BC,J_FeS2_down,0.3075,0
BM,J_FeS2_down,0.4007,0
HH,J_rMn_down,0.0038,0
HC,J_rMn_down,0.01,0
HM,J_rMn_down,0.0533,0
GH,J_rMn_down,0.0012,0
GC,J_rMn_down,0.2832,0
GM,J_rMn_down,0.0184,0
BH,J_rMn_down,0.0032,0
BC,J_rMn_down,0.0011,0
BM,J_rMn_down,0.0021,0
HC,J_DIC_up.L,15.15,1.34
GC,J_DIC_up.L,13.12,2.46
BC,J_DIC_up.L,49.48,15.58
HC,J_dMn_up.L,0.205,0.05
GC,J_dMn_up.L,1.465,0.43
BC,J_dMn_up.L,-0.038,0.14
HC,Pi,1,0
GC,Pi,0.25,0
BC,Pi,0,0
HC,J_dMn_up.M,0.194,0
GC,J_dMn_up.M,1.461,0
BC,J_dMn_up.M,0,0
HC,J_dFe_up.M,0.83,0
GC,J_dFe_up.M,0.126,0
BC,J_dFe_up.M,0,0
HH,BPc_sc,0.355312581,0
HC,BPc_sc,0.30872529,0
HM,BPc_sc,0.30872529,0
GH,BPc_sc,0.493129283,0
GC,BPc_sc,0.420737838,0
GM,BPc_sc,0.30403673,0
BH,BPc_sc,0.482756743,0
BC,BPc_sc,0,0
BM,BPc_sc,0,0
HH,IPc_sc,0.143521283,0
HC,IPc_sc,0.105106856,0
HM,IPc_sc,0.105106856,0
GH,IPc_sc,0.280368176,0
GC,IPc_sc,0.219523295,0
GM,IPc_sc,0.161938305,0
BH,IPc_sc,0.133411857,0
BC,IPc_sc,0,0
BM,IPc_sc,0,0
HH,BPc.IPc,2.475678684,0
HC,BPc.IPc,2.937251686,0
HM,BPc.IPc,2.937251686,0
GH,BPc.IPc,1.758863256,0
GC,BPc.IPc,1.91659768,0
GM,BPc.IPc,1.877484947,0
BH,BPc.IPc,3.618544512,0
BC,BPc.IPc,0,0
BM,BPc.IPc,0,0
